experiment_name	model	num_pops	fst	wdiff	wvar	correlation	generations	replicate_number	S_value_Driftsel	S_value_Driftsel_Neutral	p_value_QSTFST	p_value_QSTFST_Neutral	p_value_MONET	log_ratio_MONET	p_value_MONET_Neutral	log_ratio_MONET_Neutral
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	498	0.868219575582714	0.28827402300253	0.002	0.105	0.007	1.54242544212066	0.1805	-2.02317134746625
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	474	0.89393602972331	0.511294953165883	0.008	0.927	0.041	1.26960206534419	0.911	-0.176191533804251
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	467	0.940916258209192	0.436000631245076	0.001	0.522	0.0035	1.58478079657519	0.89	0.0647678020899988
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	471	0.850229986020318	0.714704967141263	0.011	0.252	0.016	1.42348580490671	0.2905	0.716156274094628
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	49	0.899220018788441	0.260649267635149	0.002	0.093	0.03575	1.24001219699512	0.18575	-2.0451502673258
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	5	0.967334074741761	0.424450282524019	0.008	0.436	0.0	2.21606984514365	0.69725	-0.42180179945327
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	91	0.97057612638813	0.542397066222175	0.0	0.983	0.0	1.98358870554833	0.72175	0.278170109548655
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	94	0.919225435844731	0.505743039157909	0.007	0.992	0.00875	1.54627680247152	0.875	0.11311984724158
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	47	0.84309808438105	0.496949768338245	0.035	0.652	0.052	1.17097580705023	0.69425	0.287713965276946
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	483	0.890632330536552	0.468517991377543	0.006	0.795	0.001	1.75043414839573	0.96925	-0.033527218596848
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	463	0.90894718966554	0.7452403448717	0.006	0.051	0.01075	1.47488900606096	0.07875	1.26512872181818
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	478	0.980014827882231	0.354879851509571	0.001	0.216	0.0	2.48742221821585	0.51075	-1.09482688378544
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	475	0.97889630190652	0.491140667238116	0.0	0.608	0.0	2.16276722875015	0.7265	0.242776376547954
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	473	0.920441820112972	0.352434956869158	0.004	0.357	0.00175	1.73013060812159	0.84275	-0.190084891791455
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	477	0.96508401694044	0.259266841759388	0.001	0.123	0.0	2.02935228716153	0.387	-1.13216900514056
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	481	0.923096658714394	0.658093593941754	0.001	0.509	0.0005	1.78756155600183	0.20725	0.991253931422746
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	487	0.898596468200903	0.66705954114019	0.003	0.153	0.005	1.66043594496739	0.418	0.560836925099834
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	476	0.94718272551359	0.261805307026517	0.004	0.12	0.00225	1.90435348815586	0.19725	-1.47465738383543
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	470	0.907023500523825	0.319681796350746	0.005	0.285	0.00475	1.59504723915323	0.48725	-0.803300897742023
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	466	0.933176592125537	0.389498558219902	0.005	0.459	0.0005	2.22500174619932	0.63075	-0.530057709325732
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	465	0.925611223160815	0.557004381603968	0.005	0.946	0.008	1.58952523201955	0.58475	0.44535488026202
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	464	0.934507134268808	0.408748331748784	0.0	0.39	0.0015	1.6912059650562	0.792	-0.36991031038992
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	456	0.949503985225415	0.514483710090661	0.001	0.856	0.00025	1.90962292214652	0.5985	0.413805902807697
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	46	0.958320454649886	0.794295771756927	0.002	0.046	0.00025	2.07623352216425	0.015	1.6515094348309
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	459	0.920090162182275	0.628140788032771	0.003	0.48	0.00875	1.48503711816318	0.3785	0.678092074167072
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	489	0.908878381294736	0.394830496445411	0.002	0.417	0.004	1.62650952349455	0.81075	-0.244472639298663
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	468	0.907889325684471	0.476522820433874	0.008	0.854	0.00825	1.59964927846922	0.797	-0.267105300811103
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	461	0.98306870306443	0.695562834660956	0.001	0.071	0.0	2.58058870580899	0.2625	0.792355658925772
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	462	0.922964184385812	0.218961801408087	0.004	0.066	0.0005	1.83543479030675	0.15575	-2.01586555758717
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	493	0.956033766035478	0.564080362517633	0.001	0.555	0.00075	1.94442938144657	0.47275	0.545347894841777
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	479	0.978947883484415	0.41199471978039	0.005	0.426	0.0	2.32161746078882	0.76	-0.544872759423266
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	48	0.90582456095171	0.633271839235505	0.007	0.655	0.01325	1.48170126794601	0.436	0.543805192050681
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	457	0.927527593757802	0.689615060010897	0.003	0.396	0.001	1.70943651173337	0.15225	1.08448214755964
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	482	0.974997637997517	0.539687945278439	0.0	0.967	0.0	2.37755573028133	0.56375	0.457320534862362
