"species","garden","trait","n_individuals","n_populations","log_ratio_mean","log_ratio_median","log_ratio_lo","log_ratio_hi","log_ratio_p","PC1_beta_mean","PC1_beta_lo","PC1_beta_hi","PC1_p","PC2_beta_mean","PC2_beta_lo","PC2_beta_hi","PC2_p","n_divergent","max_rhat"
"lusitanica","GH","NPQ.TreatW",160,5,2.34225913511075,2.45879724968045,-4.74323884461135,8.71780951204988,0.3765,0.0262909625142153,-0.0961589217778598,0.150590655711348,NA,-0.0362072828004272,-0.180085129023959,0.0940096915396276,NA,112,1.01188795750892
"lusitanica","GH","PA.TreatD",163,5,0.441135943757785,0.574171897806697,-6.04548646440977,6.44075212522629,0.822625,-0.0255557218913093,-0.137058748049876,0.0626369592888356,NA,0.0472545302282222,-0.0805933884260802,0.180057052340944,NA,25,1.03575044543848
"lusitanica","GH","PA.TreatW",164,5,-0.529299975161594,0.0299448881269322,-6.65037800622447,2.95646182562361,0.988,0.0651451329933836,-0.0342397592230465,0.143716270090559,NA,0.0381226055126665,-0.0751484535850724,0.176658193048179,NA,2929,1.31335268435159
"lusitanica","GH","PhiPSII.TreatD",139,5,1.19694594228055,1.28089346486049,-5.41147042850956,7.59338208798655,0.63425,0.00987631240186688,-0.115724856251899,0.0962052830340633,NA,-0.041081152153261,-0.180234929803041,0.0933774102895478,NA,47,1.01153461340685
"lusitanica","GH","PhiPSII.TreatW",160,5,2.94423474884752,2.96155275827241,-3.83197722892436,9.6929813221183,0.306875,0.00844561472860188,-0.0921336454731183,0.114669248100799,NA,0.0294215673154745,-0.0858808801013986,0.157878034152468,NA,4,1.00158829189107
"lusitanica","GH","RGR.TreatD",157,5,0.116597534251445,0.130301612893995,-6.15193301346327,5.89298088275925,0.959125,0.00289531726127436,-0.109621583126582,0.0801024374930315,NA,0.120166618640839,-0.0108356702695064,0.245846200862258,NA,843,1.09145606197917
"lusitanica","GH","RGR.TreatW",174,5,-0.794097098905643,-0.296357571572382,-7.23189827459097,2.79915952289256,0.888125,0.0382448499544444,-0.05982188314408,0.147165316086583,NA,0.117443013976074,-0.0289632932557701,0.248157973367726,NA,102,1.04577943422471
"lusitanica","GH","SLA.TreatD",163,5,0.618762097776701,0.82667165055543,-5.82132923477,6.35466325263691,0.74575,0.0385589014479632,-0.0486837558554217,0.169701782168232,NA,0.155167764287792,0.0270496504688183,0.291409105976999,NA,70,1.01435702487844
"lusitanica","GH","SLA.TreatW",164,5,0.574802202017571,0.677300404991062,-5.95447448882699,6.56388436114365,0.778125,0.0175652595780534,-0.0857401482020676,0.113629733821743,NA,0.102138904183036,-0.0209370254619058,0.227530539181204,NA,167,1.01407266096851
"lusitanica","GH","Thickness.TreatD",159,5,0.297336638740228,0.430614944266222,-6.17590355103921,6.27767240845208,0.863,-0.0503414664587931,-0.154072736066226,0.0291850811500509,NA,-0.0902486643410475,-0.217981901834407,0.0376201680843282,NA,298,1.04897014410072
"lusitanica","GH","Thickness.TreatW",163,5,0.238001206766426,0.438176507064887,-6.2024619441633,5.76273476714444,0.855375,-0.0703321193573224,-0.167869544221838,0.0116277137193605,NA,-0.182028956521579,-0.307016196988437,-0.0614096079884871,NA,80,1.00998508171442
