"species","garden","trait","n_individuals","n_populations","log_ratio_mean","log_ratio_median","log_ratio_lo","log_ratio_hi","log_ratio_p","PC1_beta_mean","PC1_beta_lo","PC1_beta_hi","PC1_p","PC2_beta_mean","PC2_beta_lo","PC2_beta_hi","PC2_p","n_divergent","max_rhat"
"faginea","GH","NPQ.TreatD",316,8,3.97870600549406,4.02829699075742,-2.69866061218112,10.9706432120485,0.202,-0.0764422439444967,-0.125348719373034,-0.0274600388831985,NA,0.0578553864262234,0.0194213170155041,0.0970811203497019,NA,255,1.00665089166262
"faginea","GH","NPQ.TreatWW",367,8,1.14358860037643,1.44266290065412,-5.61295294953436,6.01794725595845,0.588,-0.0040583003244488,-0.0572647807465526,0.0468975500916616,NA,-0.000197435965247839,-0.0407846945988451,0.043638644542141,NA,558,1.14442316555949
"faginea","GH","PA.TreatD",380,8,4.93786683434973,4.60531598300981,1.68468963031055,10.5100254794417,0.001,0.191748128486295,0.149793626373393,0.233473368832868,NA,-0.0389056737285032,-0.0736801499669236,-0.00459582511388987,NA,161,1.01026384676565
"faginea","GH","PA.TreatWW",381,8,2.93186444219011,2.91411273154677,-0.563084495249012,7.01210799471434,0.0886666666666667,0.177437858464749,0.132958061117971,0.221276760610142,NA,-0.0322780111297106,-0.0705130781872224,0.00641367671634564,NA,302,1.02754925793772
"faginea","GH","PhiPSII.TreatD",316,8,3.73566313685033,3.66727921691965,-2.72813456750067,10.1140061442582,0.2,0.0516077607518918,0.00258519506131836,0.100142056171553,NA,-0.010689433389662,-0.0508019951411744,0.0283289689959839,NA,273,1.00626548077217
"faginea","GH","PhiPSII.TreatWW",367,8,3.06030317884183,3.16235422611832,-3.55681444003061,9.4279464602752,0.289666666666667,0.00242723347527399,-0.0452860071911533,0.0470627519318888,NA,-0.0184960871538752,-0.0553126039320544,0.0195245409814205,NA,368,1.00768521476055
"faginea","GH","RGR.TreatD",369,8,0.437279854143753,0.791107344798488,-5.18199706393193,4.03818418472891,0.742,-0.0464093501469307,-0.0981973972732943,0.00477629170660808,NA,-0.000558361538319177,-0.0451052585045843,0.0438710958193001,NA,446,1.08261288878438
"faginea","GH","RGR.TreatWW",382,8,1.71516440241964,1.81140598555937,-4.82947617764594,7.71145763779748,0.522,-0.0616019728020995,-0.107331338813392,-0.0186762466055633,NA,-0.0412506279036319,-0.0795242089310889,-0.0022748897595359,NA,382,1.01224618800391
"faginea","GH","SLA.TreatD",378,8,3.3639609214232,3.18156123925784,0.077426691437289,8.12744037594637,0.0436666666666667,-0.150977186423887,-0.1937007570542,-0.106546893496057,NA,0.0435057594279415,0.00740526825003874,0.0790969368237018,NA,188,1.01795528345951
"faginea","GH","SLA.TreatWW",377,8,3.06079077497368,2.9818807624963,0.0664169418154848,6.66254237610882,0.0443333333333333,-0.0970538457694168,-0.149002158584914,-0.0503495606154093,NA,0.036147449416853,-0.00347759521860122,0.0755416681716718,NA,210,1.01277529514403
"faginea","GH","Thickness.TreatD",341,8,1.29846849403569,1.53658215459195,-4.23504265523325,5.46157553152198,0.545333333333333,0.130193808757282,0.0820988603366341,0.178974034320167,NA,-0.0664969476386001,-0.107356549242181,-0.0271798964298518,NA,323,1.0263511266368
"faginea","GH","Thickness.TreatWW",377,8,0.38981438642298,0.667410666631485,-5.86979712051473,4.7937945808472,0.786333333333333,0.13839097580372,0.0909576159871972,0.184727365290737,NA,-0.0360656074013122,-0.0761432069283436,0.00436637320147188,NA,452,1.05056528738121
